county,average_deposits_2015
"New York",1684862.9194
Harris,549881.4610
Cook,501710.3750
Denver,493559.8571
"Salt Lake",426866.4400
Milwaukee,402529.5833
Wayne,372683.8413
Hidalgo,282938.0000
"San Francisco",279522.7727
DuPage,253778.1667
"East Baton Rouge",234248.1379
Smith,233127.0000
Orleans,208640.2727
Gillespie,203603.0000
Kings,186904.4286
Cameron,179168.5000
"Los Angeles",176551.6359
Boulder,175705.1250
"San Mateo",173427.0714
"Santa Clara",172764.7632
Maricopa,163664.1927
Champaign,161387.6667
"Santa Cruz",160914.6667
Dane,156722.4000
Travis,155264.0870
Comal,153938.0000
Marin,153868.3333
Alameda,151420.1724
Nassau,149753.7538
Sangamon,143675.0000
Union,143419.0000
Gregg,142992.0000
Marion,140706.3968
Richmond,139607.3333
Washtenaw,136870.3750
Oakland,135632.7692
Pinal,134969.5000
"Fort Bend",132570.3333
Shasta,131596.0000
Imperial,129539.0000
Kane,128768.9000
Queens,128744.4750
Ector,127713.0000
Graham,126474.0000
Miami-Dade,125819.7358
Fairfield,124718.5938
Suffolk,124273.9583
Upshur,124250.0000
"Santa Barbara",122422.2000
Westchester,122221.7027
Galveston,121024.6667
Cochise,118855.0000
Yuma,118269.6667
Rockland,117236.6818
Yolo,116905.5000
"St. Bernard",116091.0000
Cuyahoga,115711.0000
"El Paso",115677.2941
Navarro,115655.0000
Lapeer,115330.0000
Orange,114572.7113
"San Diego",114535.3151
"New Haven",113987.5000
Ventura,113894.4737
Gila,113873.0000
Tarrant,113587.8571
Mohave,112555.2000
Jefferson,112320.6275
Nevada,111758.5000
Morris,111098.6087
Macomb,109401.2667
Tippecanoe,106185.3333
Arapahoe,105995.1429
Essex,105167.0000
Modoc,104145.5000
Cabell,103833.0000
"Contra Costa",103016.6087
King,101055.3205
Riverside,100999.8148
Collin,100141.0870
Summit,100047.9412
Kenosha,100008.8000
Lake,99366.1111
Denton,98788.8462
Yavapai,98649.8750
"San Benito",97009.0000
"San Luis Obispo",96958.7143
Bergen,96585.8462
"St. Tammany",96466.0000
Franklin,96071.7368
Broward,95299.1613
Montgomery,95276.9394
"Palm Beach",94277.0000
Hendricks,94138.0000
Dallas,93961.5349
Hamilton,93810.7059
Caddo,93616.8182
Ingham,93192.0000
Yuba,93021.0000
Napa,92939.5000
Monroe,92173.2500
Ozaukee,91966.0000
"San Bernardino",91490.3200
Butte,91176.5000
Stanislaus,88624.1429
Hunt,88210.0000
Pima,88153.7500
Collier,87955.0000
Monterey,87722.2857
Ocean,87117.3333
Outagamie,86483.5000
Delaware,85561.7273
Will,83408.0000
Wichita,82952.0000
"Indian River",82897.0000
Merced,82013.5000
Utah,81949.5000
Lee,81712.0000
Bronx,81416.6000
Navajo,81192.0000
Larimer,80832.8333
Elkhart,80777.7778
Passaic,79668.4000
Fayette,79117.0000
Lafayette,78861.2667
"St. Charles",78383.0000
Waukesha,78120.4615
Sacramento,77645.6667
Tulsa,77204.9000
Inyo,77172.0000
Livingston,76531.7500
Sonoma,76240.9000
Martin,76002.5000
Placer,75778.7500
Ascension,75648.0000
Grayson,75133.0000
Middlesex,75102.6667
Allen,74943.6316
Onondaga,74932.0000
McLean,74750.0000
Kent,74499.3182
Bell,74147.0000
Geauga,73249.6667
Pickaway,73149.0000
Raleigh,72685.0000
Multnomah,72544.6471
Monmouth,72343.0000
"Grand Traverse",72085.2500
Davis,71785.5000
Walworth,71389.5000
Somerset,71027.5000
Adams,70277.5000
Oklahoma,70231.3125
Putnam,69855.0000
"St. Clair",69215.7500
Terrebonne,69091.0000
Calcasieu,68903.0833
Sutter,68534.5000
Ontario,68472.0000
Weld,68357.0000
Logan,67528.5000
Kern,67493.6250
Muskegon,67285.0000
McHenry,67246.4286
Bossier,67063.7500
Johnson,66575.7500
Winnebago,66429.0833
Ashland,66307.0000
Manatee,66136.5000
