,institution_name,main_office,branch_name,branch_number,established_date,acquired_date,street_address,city,county,state,zipcode,latitude,longitude,2010_deposits,2011_deposits,2012_deposits,2013_deposits,2014_deposits,2015_deposits,2016_deposits
0,JPMorgan Chase Bank,1,JPMorgan Chase Bank Main Office,0,1824-01-01,,1111 Polaris Parkway,Columbus,Delaware,OH,43240,40.14453,-82.99115,633131000.0,743268000.0,832455000.0,916543000.0,1032549000.0,1069425000.0,1155185000
1,JPMorgan Chase Bank,0,Vernon Hills Scarsdale Branch,2,1961-03-20,,676 White Plains Road,Scarsdale,Westchester,NY,10583,40.97008,-73.8067,293229.0,310791.0,325742.0,327930.0,327792.0,341475.0,381558
2,JPMorgan Chase Bank,0,Great Neck Northern Boulevard Branch,3,1963-09-09,,410 Northern Boulevard,Great Neck,Nassau,NY,11021,40.77944,-73.7224,191011.0,206933.0,216439.0,237983.0,234183.0,262455.0,278940
3,JPMorgan Chase Bank,0,North Hartsdale Branch,4,1966-02-19,,353 North Central Avenue,Hartsdale,Westchester,NY,10530,41.02654,-73.79168,87110.0,88367.0,93163.0,109659.0,111985.0,116772.0,140233
4,JPMorgan Chase Bank,0,Lawrence Rockaway Branch,5,1965-01-16,,335 Rockaway Turnpike,Lawrence,Nassau,NY,11559,40.62715,-73.73675,172608.0,172749.0,189413.0,198445.0,205198.0,223200.0,235594
5,JPMorgan Chase Bank,0,Mount Vernon Branch,9,1964-02-25,,22 West First Street,Mount Vernon,Westchester,NY,10550,40.91144,-73.83804,146820.0,136672.0,140678.0,154313.0,148707.0,145499.0,151949
6,JPMorgan Chase Bank,0,Castle Hill Branch,12,1965-12-11,,784 Castle Hill Avenue,Bronx,Bronx,NY,10473,40.82292,-73.84887,75131.0,80172.0,82333.0,94538.0,97046.0,107166.0,110592
7,JPMorgan Chase Bank,0,Burnside Avenue Branch,15,1922-02-14,,5 West Burnside Avenue,Bronx,Bronx,NY,10453,40.85389,-73.9076,39888.0,42546.0,43800.0,45867.0,51363.0,56693.0,62993
8,JPMorgan Chase Bank,0,Gun Hill Branch,16,1950-12-18,,1308 East Gun Hill Road,Bronx,Bronx,NY,10469,40.87151,-73.84823,73702.0,70049.0,70447.0,78946.0,80677.0,82756.0,88954
9,JPMorgan Chase Bank,0,Kingsbridge Road Branch,18,1924-08-18,,66 East Kingsbridge Road,Bronx,Bronx,NY,10468,40.86671,-73.89562,69778.0,72816.0,74729.0,75470.0,78759.0,83978.0,88674
10,JPMorgan Chase Bank,0,Riverdale Branch,20,1950-06-01,,3775 Riverdale Avenue,Bronx,Bronx,NY,10463,40.88763,-73.90737,304300.0,311508.0,330224.0,360791.0,367202.0,364435.0,387333
11,JPMorgan Chase Bank,0,Washington Heights Branch,21,1909-01-02,,1421 Saint Nicholas Avenue,New York City,New York,NY,10033,40.84941,-73.9337,136997.0,142882.0,151420.0,158669.0,157862.0,163336.0,179566
12,JPMorgan Chase Bank,0,Broadway Branch,22,1926-07-12,,5581 Broadway,Bronx,Bronx,NY,10463,40.87913,-73.90465,113665.0,112165.0,122634.0,126619.0,124031.0,134475.0,131545
13,JPMorgan Chase Bank,0,Westchester Square Branch,24,1959-06-29,,2725 East Tremont Avenue,Bronx,Bronx,NY,10461,40.84239,-73.84501,155289.0,157396.0,161177.0,169839.0,167495.0,183544.0,194609
14,JPMorgan Chase Bank,0,Bay Parkway and 85th St Branch,26,1964-03-25,,8418 Bay Parkway,Brooklyn,Kings,NY,11214,40.60268,-73.99304,187794.0,195965.0,214398.0,227519.0,252124.0,278547.0,297821
15,JPMorgan Chase Bank,0,Grand Army Plaza Branch,33,1927-03-14,,401 Flatbush Avenue,Brooklyn,Kings,NY,11238,40.67576,-73.97135,135506.0,136764.0,146051.0,163797.0,178001.0,227647.0,255084
16,JPMorgan Chase Bank,0,Carroll Gardens Branch,34,1913-06-09,,79 Hamilton Avenue,Brooklyn,Kings,NY,11231,40.68279,-74.00556,46199.0,51254.0,54859.0,70898.0,69824.0,77536.0,79441
17,JPMorgan Chase Bank,0,Third Avenue & 51st Street Branch,37,1961-05-05,,850 Third Avenue,New York City,New York,NY,10022,40.75675,-73.97008,463550.0,456859.0,508804.0,540179.0,595786.0,581725.0,643283
18,JPMorgan Chase Bank,0,East End Branch,38,1961-05-22,,1495 York Avenue,New York City,New York,NY,10075,40.77158,-73.95038,299301.0,306225.0,317068.0,359173.0,410737.0,425169.0,447613
19,JPMorgan Chase Bank,0,Audubon Branch,40,1917-04-02,,3940 Broadway,New York City,New York,NY,10032,40.83951,-73.94077,91380.0,97219.0,104093.0,106875.0,114292.0,122220.0,139830
20,JPMorgan Chase Bank,0,First Avenue & 72nd Street Branch,41,1964-06-15,,360 East 72nd Street,New York City,New York,NY,10021,40.76815,-73.95696,384454.0,364852.0,387515.0,440753.0,500574.0,483835.0,536219
21,JPMorgan Chase Bank,0,Soho Branch,42,1954-10-18,,525 Broadway,New York City,New York,NY,10012,40.7229,-73.99889,286082.0,320252.0,344141.0,385854.0,488886.0,508122.0,615029
22,JPMorgan Chase Bank,0,Times Square Branch,44,1927-05-02,,3 Times Square,New York City,New York,NY,10036,40.75658,-73.98629,313024.0,338725.0,432032.0,449569.0,474047.0,495929.0,532606
23,JPMorgan Chase Bank,0,Broadway Lispenard Branch,45,1922-08-01,,407 Broadway,New York City,New York,NY,10013,40.72258,-74.00624,150592.0,160595.0,204645.0,244811.0,275726.0,306902.0,333954
24,JPMorgan Chase Bank,0,Chinatown Branch,46,1919-11-24,,180 Canal Street,New York City,New York,NY,10013,40.71668,-73.9977,480964.0,523824.0,589914.0,638030.0,715607.0,791413.0,892267
25,JPMorgan Chase Bank,0,Yorkville Branch,52,1914-06-15,,126 East 86th Street,New York City,New York,NY,10028,40.77966,-73.95609,383871.0,410662.0,437302.0,490441.0,538860.0,526558.0,535283
26,JPMorgan Chase Bank,0,Columbus Avenue & 72nd Street Branch,62,1954-10-18,,260 Columbus Avenue,New York City,New York,NY,10023,40.77746,-73.97885,311593.0,350759.0,338917.0,356374.0,384371.0,383014.0,429310
27,JPMorgan Chase Bank,0,Bloomingdales Branch,63,1915-08-02,,770 Lexington Avenue,New York City,New York,NY,10065,40.76302,-73.96761,273852.0,284524.0,295659.0,301179.0,365023.0,356922.0,353925
28,JPMorgan Chase Bank,0,London Terrace Branch,64,1931-05-01,,475 West 23rd Street,New York City,New York,NY,10011,40.74743,-74.00339,143289.0,163960.0,168332.0,194739.0,224536.0,245573.0,249426
29,JPMorgan Chase Bank,0,Tremont Branch,71,1954-10-18,,601 East Tremont Avenue,Bronx,Bronx,NY,10457,40.84628,-73.89296,48180.0,43965.0,45267.0,48717.0,53949.0,56093.0,56539
30,JPMorgan Chase Bank,0,Chelsea Branch,79,1921-06-15,,"158 West 14th Street, 2nd Floor",New York City,New York,NY,10011,40.73803,-73.99857,201447.0,208175.0,207242.0,226551.0,236501.0,242861.0,260559
31,JPMorgan Chase Bank,0,Lexington Avenue & 72nd Street Branch,81,1917-01-15,,1003 Lexington Avenue,New York City,New York,NY,10021,40.77067,-73.96198,198144.0,187406.0,232051.0,238634.0,263619.0,293597.0,304304
32,JPMorgan Chase Bank,0,Sheridan Square Branch,82,1920-01-03,,204 West Fourth Street,New York City,New York,NY,10014,40.73333,-74.00262,307978.0,323295.0,339057.0,387560.0,398346.0,440728.0,454616
33,JPMorgan Chase Bank,0,Sutton Place Branch,83,1926-06-07,,994 First Avenue,New York City,New York,NY,10022,40.7568,-73.96401,381890.0,416914.0,446512.0,469062.0,437428.0,474278.0,513961
34,JPMorgan Chase Bank,0,Empire State Branch,85,1924-04-01,,349 Fifth Avenue and 34th Street,New York City,New York,NY,10016,40.7482,-73.98473,666584.0,655384.0,733993.0,833534.0,890817.0,7099781.0,15580897
35,JPMorgan Chase Bank,0,Fit Seventh Avenue Branch,86,1929-09-17,,305 Seventh Avenue,New York City,New York,NY,10001,40.74677,-73.99363,270220.0,289307.0,336648.0,359183.0,389188.0,400925.0,491408
36,JPMorgan Chase Bank,0,West 86th Street Branch,95,1929-12-09,,59 West 86th Street,New York City,New York,NY,10024,40.78609,-73.97107,297520.0,298637.0,307545.0,329475.0,358566.0,359705.0,374965
37,JPMorgan Chase Bank,0,Gracie Square Branch,98,1938-02-01,,453 East 86th Street,New York City,New York,NY,10028,40.77643,-73.94813,199955.0,201831.0,226978.0,249119.0,270207.0,276765.0,291172
38,JPMorgan Chase Bank,0,Third Avenue & 41st Street Branch,99,1961-10-02,,633 Third Avenue,New York City,New York,NY,10017,40.74977,-73.97518,536930.0,534039.0,584368.0,652110.0,674841.0,708847.0,741339
39,JPMorgan Chase Bank,0,Exxon Building Branch,105,1959-09-09,,1251 Avenue Of The Americas,New York City,New York,NY,10020,40.75971,-73.98065,1633290.0,1755963.0,1915696.0,1999711.0,2004986.0,2008347.0,2072137
40,JPMorgan Chase Bank,0,Astoria 30th Avenue Branch,110,1961-06-19,,31-05 30th Avenue,Long Island City,Queens,NY,11102,40.7667,-73.92097,148276.0,155347.0,176789.0,206933.0,228963.0,250939.0,272444
41,JPMorgan Chase Bank,0,Bay Terrace Branch,111,1960-06-06,,2398 Bell Boulevard,Bayside,Queens,NY,11360,40.77942,-73.77563,169397.0,164359.0,184653.0,210463.0,239369.0,253658.0,279639
42,JPMorgan Chase Bank,0,Far Rockaway Branch,112,1931-10-05,,1912 Mott Avenue,Far Rockaway,Queens,NY,11691,40.60378,-73.752,41599.0,41935.0,41661.0,46938.0,48890.0,51464.0,52268
43,JPMorgan Chase Bank,0,Downtown Flushing Branch,113,1906-01-29,,39-01 Main Street,Flushing,Queens,NY,11354,40.76001,-73.83035,488717.0,553758.0,665005.0,819541.0,984053.0,1101585.0,1246785
44,JPMorgan Chase Bank,0,Forest Hills 71st Ave Branch,114,1922-01-02,,107-36 71st Avenue,Forest Hills,Queens,NY,11375,40.72118,-73.8441,369462.0,377148.0,398091.0,436707.0,469300.0,502087.0,520197
45,JPMorgan Chase Bank,0,Columbia University Branch,117,1824-01-01,,2824-26 Broadway,New York City,New York,NY,10025,40.80369,-73.96685,476616.0,500560.0,509924.0,535937.0,552926.0,585744.0,645046
46,JPMorgan Chase Bank,0,Rochdale Village Mall Branch,118,1963-12-26,,165-40 Baisley Boulevard,Jamaica,Queens,NY,11434,40.67933,-73.77793,79155.0,79979.0,79218.0,86187.0,92112.0,103283.0,111129
47,JPMorgan Chase Bank,0,Hunters Point Branch,121,1954-10-18,,10-51 Jackson Avenue,Long Island City,Queens,NY,11101,40.74251,-73.95271,130285.0,136220.0,146084.0,175561.0,188246.0,226631.0,248397
48,JPMorgan Chase Bank,0,Steinway and Broadway Branch,122,1919-01-27,,38-18 Broadway,Astoria,Queens,NY,11103,40.75923,-73.9196,191624.0,190802.0,210850.0,237922.0,242952.0,253736.0,321267
49,JPMorgan Chase Bank,0,Queens Blvd and 64th Ave Branch,123,1959-12-28,,97-41 Queens Boulevard,Rego Park,Queens,NY,11374,40.72943,-73.85975,188844.0,193020.0,202799.0,215948.0,225394.0,217878.0,224070
50,JPMorgan Chase Bank,0,Stapleton Branch,124,1928-05-01,,621 Bay Street,Staten Island,Richmond,NY,10304,40.62683,-74.07567,50571.0,49589.0,47365.0,53341.0,52521.0,54804.0,56262
